player,team,games_played,mpg,ppg,rpg,apg,espn_id
Adrian Wooley,Louisville,33,22.1,8.5,4.0,1.8,5242127
Khani Rooths,Louisville,29,16.5,5.5,4.4,1.0,4873187
Kobe Rodgers,Louisville,32,13.8,3.3,2.4,1.4,5174946
Aly Khalifa,Louisville,33,12.0,3.2,1.9,2.6,4702739
Kasean Pryor,Louisville,22,6.7,2.3,1.9,0.3,4589481
Vangelis Zougris,Louisville,25,8.8,2.3,2.3,0.7,5311969
Cole Sherman,Louisville,10,1.2,1.2,0.0,0.1,5106779
Spencer Legg,Louisville,9,0.9,0.8,0.4,0.2,5105765
Will Hanke,Louisville,10,1.0,0.2,0.4,0.0,5311968
Larry Johnson,McNeese,33,25.2,17.5,5.5,1.4,5144375
Tyshawn Archie,McNeese,33,25.5,14.3,1.9,2.9,5175726
